departement,annee,accidents,blesses_graves,blesses_legers,tues,vehicules,taux_mortalite
Alibori,2010,137.0,60.0,93.0,45.0,233.0,328.5
Alibori,2011,128.0,106.0,101.0,71.0,222.0,554.7
Alibori,2012,131.0,74.0,81.0,51.0,233.0,389.3
Alibori,2013,107.0,61.0,55.0,55.0,186.0,514.0
Alibori,2014,90.0,43.0,36.0,35.0,172.0,388.9
Alibori,2015,80.0,79.0,53.0,39.0,138.0,487.5
Alibori,2016,104.0,49.0,39.0,28.0,178.0,269.2
Alibori,2017,438.0,138.0,170.0,67.0,826.0,153.0
Alibori,2018,221.0,86.0,139.0,54.0,363.0,244.3
Alibori,2019,215.0,93.0,145.0,83.0,371.0,386.0
Alibori,2020,231.0,101.0,131.0,93.0,380.0,402.6
Alibori,2021,253.0,131.0,143.0,88.0,433.0,347.8
Alibori,2022,472.0,244.0,243.0,131.0,832.0,277.5
Atakora,2010,186.0,110.0,132.0,58.0,297.0,311.8
Atakora,2011,223.0,151.0,131.0,52.0,367.0,233.2
Atakora,2012,188.0,112.0,144.0,61.0,300.0,324.5
Atakora,2013,96.0,62.0,54.0,42.0,159.0,437.5
Atakora,2014,125.0,110.0,61.0,43.0,207.0,344.0
Atakora,2015,170.0,122.0,108.0,47.0,269.0,276.5
Atakora,2016,235.0,134.0,197.0,34.0,388.0,144.7
Atakora,2017,447.0,145.0,177.0,46.0,824.0,102.9
Atakora,2018,77.0,42.0,35.0,28.0,125.0,363.6
Atakora,2019,157.0,88.0,109.0,36.0,275.0,229.3
Atakora,2020,126.0,83.0,86.0,29.0,218.0,230.2
Atakora,2021,147.0,75.0,95.0,57.0,243.0,387.8
Atakora,2022,409.0,205.0,191.0,107.0,736.0,261.6
Atlantique,2010,653.0,347.0,337.0,131.0,1258.0,200.6
Atlantique,2011,545.0,216.0,299.0,98.0,1052.0,179.8
Atlantique,2012,574.0,197.0,296.0,69.0,1096.0,120.2
Atlantique,2013,411.0,197.0,184.0,50.0,782.0,121.7
Atlantique,2014,560.0,200.0,219.0,53.0,1090.0,94.6
Atlantique,2015,707.0,330.0,264.0,88.0,1377.0,124.5
Atlantique,2016,720.0,287.0,297.0,95.0,1364.0,131.9
Atlantique,2017,511.0,176.0,184.0,63.0,948.0,123.3
Atlantique,2018,840.0,343.0,309.0,128.0,1578.0,152.4
Atlantique,2019,944.0,443.0,338.0,128.0,1795.0,135.6
Atlantique,2020,965.0,453.0,426.0,157.0,1820.0,162.7
Atlantique,2021,1157.0,522.0,529.0,205.0,2140.0,177.2
Atlantique,2022,454.0,244.0,243.0,114.0,809.0,251.1
Borgou,2010,214.0,178.0,144.0,89.0,384.0,415.9
Borgou,2011,254.0,125.0,147.0,87.0,461.0,342.5
Borgou,2012,244.0,115.0,151.0,93.0,438.0,381.1
Borgou,2013,242.0,100.0,158.0,107.0,457.0,442.1
Borgou,2014,268.0,128.0,227.0,74.0,496.0,276.1
Borgou,2015,250.0,95.0,218.0,81.0,472.0,324.0
Borgou,2016,348.0,161.0,225.0,86.0,622.0,247.1
Borgou,2017,525.0,186.0,203.0,84.0,995.0,160.0
Borgou,2018,582.0,267.0,350.0,146.0,1024.0,250.9
Borgou,2019,526.0,228.0,305.0,147.0,943.0,279.5
Borgou,2020,414.0,187.0,201.0,149.0,719.0,359.9
Borgou,2021,572.0,297.0,376.0,186.0,1013.0,325.2
Borgou,2022,447.0,217.0,256.0,113.0,816.0,252.8
Collines,2010,228.0,185.0,125.0,84.0,400.0,368.4
Collines,2011,313.0,217.0,181.0,90.0,543.0,287.5
Collines,2012,291.0,223.0,153.0,72.0,487.0,247.4
Collines,2013,301.0,279.0,184.0,102.0,534.0,338.9
Collines,2014,284.0,201.0,179.0,88.0,515.0,309.9
Collines,2015,171.0,129.0,74.0,64.0,299.0,374.3
Collines,2016,116.0,64.0,52.0,47.0,198.0,405.2
Collines,2017,492.0,163.0,189.0,42.0,945.0,85.4
Collines,2018,263.0,116.0,156.0,93.0,471.0,353.6
Collines,2019,289.0,156.0,154.0,83.0,526.0,287.2
Collines,2020,319.0,193.0,149.0,95.0,538.0,297.8
Collines,2021,426.0,199.0,238.0,118.0,734.0,277.0
Collines,2022,430.0,257.0,180.0,92.0,803.0,214.0
Donga,2010,52.0,20.0,50.0,18.0,83.0,346.2
Donga,2011,130.0,46.0,78.0,35.0,209.0,269.2
Donga,2012,104.0,59.0,118.0,34.0,176.0,326.9
Donga,2013,115.0,81.0,106.0,30.0,195.0,260.9
Donga,2014,95.0,103.0,72.0,55.0,154.0,578.9
Donga,2015,66.0,44.0,34.0,26.0,111.0,393.9
Donga,2016,68.0,35.0,32.0,35.0,99.0,514.7
Donga,2017,401.0,123.0,136.0,35.0,767.0,87.3
Donga,2018,119.0,77.0,67.0,47.0,202.0,395.0
Donga,2019,83.0,42.0,38.0,29.0,132.0,349.4
Donga,2020,189.0,100.0,137.0,46.0,302.0,243.4
Donga,2021,139.0,93.0,94.0,51.0,232.0,366.9
Donga,2022,381.0,171.0,206.0,91.0,700.0,238.8
Kouffo,2010,94.0,53.0,69.0,39.0,154.0,414.9
Kouffo,2011,134.0,58.0,116.0,28.0,240.0,209.0
Kouffo,2012,92.0,53.0,77.0,12.0,165.0,130.4
Kouffo,2013,69.0,45.0,37.0,25.0,129.0,362.3
Kouffo,2014,103.0,69.0,51.0,32.0,179.0,310.7
Kouffo,2015,64.0,40.0,42.0,28.0,110.0,437.5
Kouffo,2016,89.0,80.0,51.0,33.0,153.0,370.8
Kouffo,2017,434.0,144.0,176.0,49.0,825.0,112.9
Kouffo,2018,63.0,45.0,46.0,21.0,105.0,333.3
Kouffo,2019,85.0,67.0,57.0,23.0,147.0,270.6
Kouffo,2020,155.0,85.0,119.0,35.0,262.0,225.8
Kouffo,2021,205.0,129.0,153.0,67.0,350.0,326.8
Kouffo,2022,393.0,173.0,176.0,105.0,715.0,267.2
Littoral,2010,2413.0,651.0,772.0,70.0,4833.0,29.0
Littoral,2011,3233.0,850.0,1177.0,99.0,6484.0,30.6
Littoral,2012,3030.0,904.0,1285.0,78.0,5989.0,25.7
Littoral,2013,3133.0,883.0,1532.0,91.0,6081.0,29.0
Littoral,2014,3432.0,976.0,1547.0,100.0,6634.0,29.1
Littoral,2015,3335.0,907.0,1429.0,86.0,6467.0,25.8
Littoral,2016,3266.0,739.0,1212.0,78.0,6328.0,23.9
Littoral,2017,473.0,166.0,188.0,49.0,868.0,103.6
Littoral,2018,2315.0,447.0,561.0,54.0,4460.0,23.3
Littoral,2019,2036.0,343.0,599.0,62.0,3846.0,30.5
Littoral,2020,883.0,190.0,253.0,41.0,1697.0,46.4
Littoral,2021,833.0,206.0,225.0,48.0,1596.0,57.6
Littoral,2022,353.0,174.0,178.0,82.0,666.0,232.3
Mono,2010,156.0,116.0,111.0,28.0,281.0,179.5
Mono,2011,169.0,155.0,127.0,44.0,298.0,260.4
Mono,2012,174.0,100.0,117.0,37.0,314.0,212.6
Mono,2013,85.0,54.0,43.0,19.0,158.0,223.5
Mono,2014,96.0,68.0,60.0,17.0,168.0,177.1
Mono,2015,142.0,83.0,136.0,24.0,264.0,169.0
Mono,2016,114.0,68.0,55.0,30.0,189.0,263.2
Mono,2017,494.0,148.0,172.0,70.0,938.0,141.7
Mono,2018,125.0,69.0,81.0,26.0,216.0,208.0
Mono,2019,239.0,110.0,172.0,49.0,417.0,205.0
Mono,2020,212.0,86.0,116.0,40.0,359.0,188.7
Mono,2021,278.0,136.0,166.0,45.0,470.0,161.9
Mono,2022,372.0,202.0,205.0,86.0,671.0,231.2
Ouémé,2010,373.0,170.0,159.0,72.0,729.0,193.0
Ouémé,2011,446.0,224.0,177.0,67.0,877.0,150.2
Ouémé,2012,463.0,196.0,228.0,53.0,888.0,114.5
Ouémé,2013,455.0,159.0,268.0,49.0,878.0,107.7
Ouémé,2014,672.0,249.0,358.0,78.0,1317.0,116.1
Ouémé,2015,626.0,206.0,296.0,65.0,1232.0,103.8
Ouémé,2016,594.0,246.0,506.0,73.0,1143.0,122.9
Ouémé,2017,491.0,150.0,217.0,54.0,929.0,110.0
Ouémé,2018,237.0,119.0,111.0,51.0,439.0,215.2
Ouémé,2019,298.0,159.0,147.0,58.0,535.0,194.6
Ouémé,2020,436.0,213.0,261.0,86.0,824.0,197.2
Ouémé,2021,461.0,269.0,234.0,83.0,861.0,180.0
Ouémé,2022,379.0,180.0,188.0,82.0,683.0,216.4
Plateau,2010,120.0,66.0,55.0,50.0,232.0,416.7
Plateau,2011,124.0,62.0,65.0,38.0,223.0,306.5
Plateau,2012,110.0,69.0,52.0,22.0,190.0,200.0
Plateau,2013,115.0,67.0,40.0,52.0,209.0,452.2
Plateau,2014,132.0,66.0,86.0,34.0,251.0,257.6
Plateau,2015,102.0,44.0,31.0,22.0,175.0,215.7
Plateau,2016,60.0,40.0,22.0,30.0,105.0,500.0
Plateau,2017,482.0,150.0,211.0,62.0,916.0,128.6
Plateau,2018,87.0,41.0,44.0,22.0,161.0,252.9
Plateau,2019,99.0,73.0,57.0,21.0,175.0,212.1
Plateau,2020,114.0,63.0,65.0,27.0,193.0,236.8
Plateau,2021,106.0,65.0,55.0,32.0,183.0,301.9
Plateau,2022,352.0,148.0,205.0,71.0,638.0,201.7
Zou,2010,237.0,152.0,197.0,76.0,413.0,320.7
Zou,2011,287.0,224.0,165.0,82.0,508.0,285.7
Zou,2012,339.0,195.0,196.0,76.0,617.0,224.2
Zou,2013,344.0,234.0,186.0,66.0,618.0,191.9
Zou,2014,312.0,247.0,176.0,61.0,583.0,195.5
Zou,2015,279.0,141.0,133.0,67.0,512.0,240.1
Zou,2016,224.0,122.0,137.0,60.0,433.0,267.9
Zou,2017,529.0,144.0,201.0,55.0,999.0,104.0
Zou,2018,457.0,241.0,321.0,70.0,835.0,153.2
Zou,2019,374.0,243.0,187.0,98.0,692.0,262.0
Zou,2020,493.0,293.0,276.0,104.0,889.0,211.0
Zou,2021,640.0,423.0,426.0,161.0,1152.0,251.6
