annee,acc_materiels,acc_corp_legers,acc_graves_nm,acc_mortels,veh_materiels,veh_corp_legers,veh_graves_nm,veh_mortels,tues_materiels,tues_corp_legers,tues_graves_nm,tues_mortels,bg_materiels,bg_corp_legers,bg_graves_nm,bg_mortels,bl_materiels,bl_corp_legers,bl_graves_nm,bl_mortels,total_accidents,total_tues,taux_mortalite
2010,1970,1028,1264,601,3789,2039,2426,1043,0,0,0,760,0,0,1676,432,0,1538,435,271,4863,760,156.3
2011,2476,1375,1497,638,4779,2729,2853,1123,0,0,0,791,0,0,2025,409,0,2020,533,211,5986,791,132.1
2012,2299,1387,1520,534,4372,2768,2843,910,0,0,0,658,0,0,2036,261,0,2061,596,241,5740,658,114.6
2013,19,11,32,45,31,20,58,77,0,0,0,55,0,0,41,20,0,14,16,25,107,55,514.0
2014,2598,1490,1531,550,4978,2951,2881,956,0,0,0,670,0,0,2110,350,0,2256,650,166,6169,670,108.6
2015,22,13,19,26,35,22,38,43,0,0,0,39,0,0,23,56,0,22,26,5,80,39,487.5
2016,2587,1418,1396,545,4967,2752,2558,934,0,0,0,629,0,0,1799,225,0,1972,476,383,5946,629,105.8
2017,2654,1235,1257,571,5042,2384,2365,989,0,0,0,676,0,0,1563,270,0,1631,418,175,5717,676,118.2
2018,2371,1132,1266,617,4389,2169,2354,1067,0,0,0,740,0,0,1593,300,0,1595,462,163,5386,740,137.4
2019,2158,1154,1345,688,3978,2175,2488,1213,0,0,0,817,0,0,1710,335,0,1604,477,227,5345,817,152.9
2020,1470,979,1332,756,2652,1776,2444,1329,0,0,0,902,0,0,1708,339,0,1393,551,276,4537,902,198.8
2021,1491,1147,1627,952,2662,2084,2973,1688,0,0,0,1141,0,0,2098,447,0,1703,685,346,5217,1141,218.7
2022,1351,1037,1521,985,2409,1917,2832,1735,0,0,0,1224,0,0,2012,444,0,1546,647,299,4894,1224,250.1
